#{"t_start": 1768383601.3568466, "env_id": "None"}
r,l,t
30636.97,1733,1579.235842
20302.727,1291,1580.696956
20158.412,1361,1583.965437
20178.31,844,1584.782701
20335.8,1615,1588.28514
9908.639,881,1591.25411
9877.603,1268,1592.842734
10031.245,1148,1596.194921
20283.732,1400,1597.983627
9993.44,1356,1601.822071
9893.433,858,1604.660467
10042.095,1234,1605.868275
30595.822,2114,1609.992554
20233.629,1386,1613.173358
30606.107,1641,1617.083277
20215.746,1095,1618.410913
20142.367,1260,1621.454328
20316.324,1155,1622.598911
30626.832,1714,1626.436213
20131.34,1157,1629.633981
9883.336,848,1630.69516
20102.18,1239,1633.932339
9866.452,657,1634.553886
20126.104,1129,1637.715857
20206.018,1119,1638.920557
9989.532,971,1642.847806
20254.082,1433,1644.316318
20250.309,1554,1647.789901
30568.295,1861,1651.692523
20193.127,1842,1655.541474
20335.787,1599,1659.197844
9964.31,943,1660.139341
20164.121,1439,1663.287102
20101.334,1154,1664.491794
20358.146,1341,1667.852377
20240.41,1059,1670.878232
20144.404,957,1671.811284
20263.873,1412,1675.132857
20331.832,1714,1679.002396
10000.252,1046,1680.047439
20289.56,1479,1683.562645
20158.51,1375,1685.04208
9941.398,1157,1688.285562
20136.945,1213,1691.587996
9909.663,1478,1693.248891
20436.283,2166,1697.597589
9867.101,726,1700.343927
20157.705,1290,1701.636243
20134.34,950,1704.484648
20082.182,1240,1705.949945
9883.708,887,1709.120284
20147.465,1265,1712.171448
20134.137,1431,1713.656505
30658.547,1886,1717.624764
20396.44,1670,1721.329919
9907.017,1213,1724.32805
20120.453,1066,1725.50289
20278.42,1373,1728.932029
20124.072,928,1729.866382
20289.877,1517,1733.447462
20142.547,1276,1736.736608
9896.2,1131,1737.853392
9893.435,858,1740.437047
20171.434,1167,1741.545963
9863.481,858,1744.33611
20153.557,1380,1745.7237
10032.024,1224,1748.741829
20343.242,1853,1752.319873
20282.283,1248,1753.59494
20138.168,1340,1756.885535
20344.127,1440,1760.196157
9989.567,971,1761.14181
20265.56,1577,1764.562444
20225.654,1596,1767.988134
20147.803,1818,1771.499465
20337.068,1737,1773.343702
20123.152,1332,1776.840144
9994.5625,975,1779.890296
9988.629,879,1780.778709
10020.642,1081,1783.636765
20132.605,1287,1785.00662
20252.797,1297,1788.245078
20201.29,1143,1789.363535
20498.295,1861,1793.123429
20388.072,1333,1796.591072
30676.256,1659,1800.274548
20390.564,1586,1801.874072
9862.434,759,1804.448714
20310.867,1111,1805.539963
20158.613,1387,1808.838956
20273.531,1886,1812.658847
20155.719,1094,1815.711007
20453.494,1886,1817.707752
10019.356,1448,1820.999157
30624.99,2044,1824.78914
20307.94,1830,1828.408223
20163.988,1424,1831.407136
20166.451,1681,1834.884161
9961.836,1205,1836.077343
20099.824,1002,1838.824165
20170.451,1571,1840.390542
20213.352,1867,1843.995391
30575.305,2064,1847.922895
30765.047,2048,1851.582894
20301.02,1633,1854.977243
9989.764,993,1857.74578
30544.945,2037,1861.319555
41187.234,2251,1865.182431
30744.957,2545,1869.205741
30573.38,1876,1872.539436
20139.1,1433,1875.583998
20211.682,1188,1876.751364
20364.363,1463,1879.928264
20346.217,1650,1883.207056
9968.396,853,1884.044496
30636.344,1669,1887.37048
30761.008,1635,1890.472461
20353.754,1400,1891.7602
20303.691,1393,1894.686666
9889.09,926,1895.546371
20243.564,1382,1898.711512
30591.584,2196,1902.64899
20253.326,1355,1905.876987
20213.066,1330,1908.856996
20137.967,1318,1910.062972
30822.484,2294,1913.809328
9915.908,1110,1916.767174
30635.018,2045,1920.647892
9991.59,1180,1921.814301
9995.1,1028,1924.643341
20139.15,1441,1927.837212
30736.89,2740,1932.121159
10050.133,1537,1935.587748
20360.104,1539,1937.240208
9869.458,959,1939.9742
20430.145,1543,1943.147209
20349.436,1975,1946.871491
20373.826,1409,1948.289759
10015.502,1069,1951.115369
20439.697,2003,1954.84751
30453.1,1339,1958.049516
20254.086,1428,1959.399802
20185.258,1046,1962.088395
20168.232,1348,1963.324459
30599.115,1953,1967.153019
20253.59,1389,1970.269914
9916.179,1137,1973.116997
20343.89,1411,1974.457005
10006.69,1188,1977.357174
20396.629,1696,1980.731587
20293.738,1397,1982.115932
10002.464,1269,1985.061112
20314.28,1966,1988.65081
20355.432,1569,1991.756655
9910.093,1027,1992.725553
9911.063,1121,1995.513728
30695.469,2085,1999.126667
10004.288,948,2000.047491
20204.037,922,2002.588651
9931.293,1153,2003.692753
30510.125,1537,2007.011132
9935.415,1059,2008.016525
30626.047,2145,2013.347571
10005.469,1062,2014.376746
9968.82,898,2016.903351
20085.805,1095,2017.961929
30483.412,1876,2021.42877
9992.279,1247,2024.324311
20190.602,1080,2025.355475
20158.727,1400,2028.427799
9872.398,754,2029.138393
30731.242,2161,2032.737835
20280.688,1594,2035.932381
20237.479,1273,2038.843057
9883.315,1338,2040.062217
10021.294,1152,2042.819814
10021.435,1166,2043.960508
30584.748,2520,2049.877029
9911.152,1133,2050.959857
20276.582,1184,2053.913801
20205.348,1056,2054.922474
20284.24,1965,2058.438787
10053.928,1419,2061.431581
30664.361,2487,2065.455346
30605.604,2103,2069.082581
20264.775,1512,2072.247718
20218.531,1380,2075.170392
20203.264,845,2075.964694
9976.535,1671,2079.121847
9931.203,1140,2080.176597
9908.702,887,2082.656946
20437.867,1824,2086.069247
20327.432,1775,2089.280477
20399.02,1939,2091.091655
9957.286,1250,2093.896162
9906.353,1151,2096.630321
20146.18,1142,2097.71607
20447.166,1753,2101.135599
30626.537,1688,2104.493393
30750.98,1625,2107.717233
10019.318,1453,2109.107059
9991.651,1185,2112.039871
30695.898,2130,2115.731733
20243.984,1424,2118.76956
20244.494,1478,2120.161288
20408.41,1881,2123.600602
20232.318,2257,2127.432377
10032.227,1242,2132.001081
20122.898,1311,2135.122154
20276.666,1689,2138.549732
30484.658,1490,2139.920774
41200.242,2011,2143.466166
20515.566,2097,2147.079703
20232.432,1265,2149.864136
20342.232,1756,2153.063477
9923.592,1376,2154.376684
30684.25,2471,2159.825234
9904.888,1003,2160.745543
30908.127,2357,2164.665088
30688.113,1850,2168.086571
10009.493,967,2170.728372
30758.377,1874,2174.338872
9899.196,935,2175.246383
41158.863,2914,2179.711151
30613.9,1927,2183.327125
30579.812,2018,2187.245306
20158.67,1904,2190.862407
20177.527,1793,2194.192391
20163.387,1366,2197.145678
20193.826,1406,2200.178884
20444.705,2011,2202.195044
20243.053,1326,2205.233886
30883.006,2349,2209.137952
30570.707,2112,2212.776883
20446.07,1642,2215.976744
20150.814,1100,2218.629895
20356.111,1637,2220.134959
20255.979,2140,2223.79528
10040.941,1614,2226.990905
20192.414,1776,2230.361193
9980.31,1048,2232.925113
9914.269,943,2233.864375
30624.623,1490,2236.800585
9914.802,999,2237.699709
9967.691,1290,2240.430347
20121.697,2214,2244.091767
30596.771,1703,2247.296568
20337.605,1792,2250.609492
30553.223,2372,2254.566255
9916.277,1142,2255.660892
30765.717,2115,2261.161789
30810.25,2573,2265.347977
30737.799,1819,2268.853321
31174.408,3000,2273.38499
9930.773,1096,2276.146717
20400.371,2076,2279.78699
20310.096,1544,2281.219637
20284.553,1485,2284.284231
41203.34,2337,2288.084502
10011.085,1616,2291.132837
20285.88,2121,2294.742603
